,cl_id,str_id,cl_type,s_cl_st,s_cl_tot,s_cl_pop,s_cl_hh,u_n,u_medpop,st_hhsiz,st_pop_n,st_pop_p,st_hh_n,st_hh_p,st_name,ori_id,geometry
69,70,1,main,205,205,286.10998,286.125,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3276969,"POLYGON ((121.56661804 15.737493705, 121.570784705 15.737493705, 121.570784705 15.73332704, 121.56661804 15.73332704, 121.56661804 15.737493705))"
70,71,1,main,205,205,119.65592,119.665,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3276982,"POLYGON ((121.620784685 15.737493705, 121.62495135 15.737493705, 121.62495135 15.73332704, 121.620784685 15.73332704, 121.620784685 15.737493705))"
71,72,1,main,205,205,302.60559,302.61,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3279478,"POLYGON ((121.545784715 15.73332704, 121.54995138 15.73332704, 121.54995138 15.729160375, 121.545784715 15.729160375, 121.545784715 15.73332704))"
72,73,1,main,205,205,152.83156,152.845,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3279485,"POLYGON ((121.57495137 15.73332704, 121.579118035 15.73332704, 121.579118035 15.729160375, 121.57495137 15.729160375, 121.57495137 15.73332704))"
73,74,1,main,205,205,224.26195,224.245,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3281989,"POLYGON ((121.53328472 15.729160375, 121.537451385 15.729160375, 121.537451385 15.72499371, 121.53328472 15.72499371, 121.53328472 15.729160375))"
74,75,1,main,205,205,204.67613,204.68,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3281995,"POLYGON ((121.55828471 15.729160375, 121.562451375 15.729160375, 121.562451375 15.72499371, 121.55828471 15.72499371, 121.55828471 15.729160375))"
75,76,1,main,205,205,113.96106,113.96,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3282010,"POLYGON ((121.620784685 15.729160375, 121.62495135 15.729160375, 121.62495135 15.72499371, 121.620784685 15.72499371, 121.620784685 15.729160375))"
76,77,1,main,205,205,218.6019,218.61,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3284508,"POLYGON ((121.554118045 15.72499371, 121.55828471 15.72499371, 121.55828471 15.720827045, 121.554118045 15.720827045, 121.554118045 15.72499371))"
77,78,1,main,205,205,107.05715,107.065,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3284522,"POLYGON ((121.612451355 15.72499371, 121.61661802 15.72499371, 121.61661802 15.720827045, 121.612451355 15.720827045, 121.612451355 15.72499371))"
78,79,1,main,205,205,201.29566,201.285,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3287022,"POLYGON ((121.554118045 15.720827045, 121.55828471 15.720827045, 121.55828471 15.71666038, 121.554118045 15.71666038, 121.554118045 15.720827045))"
